TechRawName,JobID,DateRaw,HoursRaw
TYLER BROOKS,JOB-1042,"May 2, 2026",1.6
TYLER BROOKS,JOB-1042,05/03/2026,2.3
TYLER BROOKS,JOB-1043,05/28/2026,1.5
TYLER BROOKS,JOB-1043,05/26/2026,4.6
priya patel,JOB-1044,2026-05-08,5.2
M. Webb,JOB-1045,"May 12, 2026",3.8
M. Webb,JOB-1045,"May 9, 2026",1.1
M. Webb,JOB-1045,2026-05-10,3.0
P. Patel,JOB-1046,"May 4, 2026",0.8
P. Patel,JOB-1046,"May 5, 2026",1.2
P. Patel,JOB-1046,"May 5, 2026",5.7
TYLER BROOKS,JOB-1047,2026-05-12,5.1
TYLER BROOKS,JOB-1047,05/14/2026,4.7
dana ortiz,JOB-1048,"May 24, 2026",4.1
dana ortiz,JOB-1048,05/23/2026,4.6
Ray Chen,JOB-1049,"May 25, 2026",0.9
Ray Chen,JOB-1049,"May 28, 2026",2.8
Tyler Brooks,JOB-1050,2026-05-03,2.1
Tyler Brooks,JOB-1050,05/02/2026,3.2
P. Patel,JOB-1051,2026-05-18,1.1
P. Patel,JOB-1051,2026-05-15,1.4
P. Patel,JOB-1051,"May 18, 2026",5.6
P. Patel,JOB-1051,2026-05-15,5.1
ray chen,JOB-1052,05/04/2026,1.3
ray chen,JOB-1052,05/04/2026,3.8
ray chen,JOB-1053,2026-05-15,3.0
ray chen,JOB-1053,05/15/2026,2.5
ray chen,JOB-1053,05/17/2026,4.0
Ray Chen,JOB-1054,05/17/2026,1.9
ray chen,JOB-1055,05/13/2026,3.7
ray chen,JOB-1055,2026-05-12,2.2
Tyler Brooks,JOB-1056,05/23/2026,2.5
Tyler Brooks,JOB-1056,05/22/2026,2.4
Tyler Brooks,JOB-1056,05/24/2026,1.7
Tyler Brooks,JOB-1056,05/22/2026,0.9
T. Brooks,JOB-1057,2026-05-06,3.9
T. Brooks,JOB-1057,05/08/2026,3.4
T. Brooks,JOB-1057,2026-05-07,5.5
tyler brooks,JOB-1058,05/30/2026,4.7
TYLER BROOKS,JOB-1059,05/10/2026,1.3
TYLER BROOKS,JOB-1060,2026-05-29,1.8
TYLER BROOKS,JOB-1060,05/29/2026,1.8
TYLER BROOKS,JOB-1060,06/01/2026,1.1
TYLER BROOKS,JOB-1060,"Jun 1, 2026",3.4
Tyler Brooks,JOB-1061,2026-05-06,1.9
D. Ortiz,JOB-1062,05/13/2026,4.4
D. Ortiz,JOB-1062,05/15/2026,2.1
Ray Chen,JOB-1063,2026-05-25,2.9
Ray Chen,JOB-1063,"May 28, 2026",2.9
Ray Chen,JOB-1063,2026-05-28,5.9
marcus webb,JOB-1064,"May 22, 2026",2.1
R. Chen,JOB-1065,05/14/2026,5.2
R. Chen,JOB-1065,05/17/2026,1.2
priya patel,JOB-1066,05/13/2026,0.6
priya patel,JOB-1066,2026-05-13,3.3
priya patel,JOB-1066,2026-05-12,4.8
marcus webb,JOB-1067,"May 24, 2026",1.7
marcus webb,JOB-1067,05/23/2026,1.8
PRIYA PATEL,JOB-1068,2026-05-17,4.2
Tyler Brooks,JOB-1050,2026-05-03,27.5
